house_title,location,emi,price
2 BHK Flat In  Kg Buliders  For Sale  In Adyar,Adyar,"75,655/Month",13200000
2 BHK Flat For Sale  In Adyar Corporation Office,Adyar corporation office,"51,583/Month",9000000
2 BHK Flat In Ragamalika Apartments For Sale  In Adyar,Adyar,"35,534/Month",6200000
3 BHK Flat In Rythm Apartment  For Sale  In Adyar,Adyar,1.55 Lacs/Month,27000000
2 BHK Flat In Paras Apartment For Sale  In Jeevarathinam Nagar,Jeevarathinam Nagar,"48,717/Month",8500000
2 BHK Flat In Elite  For Sale  In Adyar,Adyar,"71,643/Month",12500000
4 BHK Villa In Classic Sando For Sale  In Adyar,Adyar,1.43 Lacs/Month,25000000
2 BHK Flat In Anugraha For Sale  In Madipakkam,Madipakkam,"29,803/Month",5200000
1 BHK Flat In Amoga Awas For Sale  In Adyar,Adyar,"35,609/Month",6213000
2 BHK House For Sale  In Adyar,Adyar,"79,093/Month",13800000
3 BHK Flat In Kumaran Foundation For Sale  In Thiruvanmiyur,Thiruvanmiyur,"63,045/Month",11000000
"3 BHK House For Sale  In Adyar, ","Adyar, ","28,657/Month",5000000
2 BHK House For Sale  In Adyar,Adyar,"64,192/Month",11200000
"4+ BHK House For Sale  In X7w2+xgg, Indira Nagar, Adyar, Chennai, Tamil Nadu 600020, India","X7W2+XGG, Indira Nagar, Adyar, Chennai, Tamil Nadu 600020, India",2.01 Lacs/Month,35000000
"3 BHK Flat In Land Marvel Kshetra, Besant Nagar For Sale  In Besant Nagar",Besant Nagar,1.6 Lacs/Month,28000000
"3 BHK Flat In Mecsons Park, Adyar For Sale  In 14, 15th Cross St, Shastri Nagar, Adyar, Chennai, Tamil Nadu 600020, India","14, 15th Cross St, Shastri Nagar, Adyar, Chennai, Tamil Nadu 600020, India","83,106/Month",14500000
"3 BHK Flat In Mecsons Park, Adyar For Sale  In 14, 15th Cross St, Shastri Nagar, Adyar, Chennai, Tamil Nadu 600020, India","14, 15th Cross St, Shastri Nagar, Adyar, Chennai, Tamil Nadu 600020, India","83,106/Month",14500000
4 BHK House For Sale  In Adyar,Adyar,2.52 Lacs/Month,44000000
2 BHK Flat In Unique Apartments  For Sale  In Adyar,Adyar,"48,717/Month",8500000
"3 BHK Flat In Shivanand Apartment For Sale  In 8, 16th Cross Street","8, 16th Cross Street",2.09 Lacs/Month,36500000
1 BHK Flat For Sale  In Adyar,Adyar,"25,791/Month",4500000
4 BHK House For Sale  In Adyar,Adyar,"71,643/Month",12500000
3 BHK Flat In Bhoomi Oyster For Sale  In Kanathur Reddykuppam,Kanathur Reddykuppam,2.05 Lacs/Month,35750000
2 BHK Flat In Gn Jai Srinivasa Flats For Sale  In Adyar,Adyar,1.23 Lacs/Month,21418000
2 BHK Flat In Elite Towers Tamil Nadu Housing Board For Sale  In Erode Amman Mess &#40;????? ?????? ????&#41;,Erode Amman Mess &#40;????? ?????? ????&#41;,"77,374/Month",13500000
1 BHK Flat In Madan Apartment For Sale  In Adyar,Adyar,"34,388/Month",6000000
3 BHK Flat In Happy Home For Sale  In Thiruvanmiyur,Thiruvanmiyur,1.48 Lacs/Month,25898400
4+ BHK House For Sale  In Kalathiyappa Street,Kalathiyappa Street,2.01 Lacs/Month,35000000
"2 BHK Flat In Sivanand Apartments For Sale  In Indira Nagar, Adyar","Indira Nagar, Adyar",1.58 Lacs/Month,27500000
3 BHK Flat In Apartment For Sale  In Adyar,Adyar,1.29 Lacs/Month,22500000
2 BHK Flat For Sale  In Adyar Corporation Office,Adyar corporation office,"51,583/Month",9000000
2 BHK Flat In Maans Nest For Sale  In Mgr Street,Mgr Street,"37,254/Month",6500000
2 BHK Flat In Amoga Avas For Sale  In Adyar,Adyar,"45,851/Month",8000000
2 BHK Flat In Vss Apartments For Sale  In Adyar,Adyar,"63,045/Month",11000000
2 BHK Flat In Maestro Soundarya For Sale  In Thiruvanmiyur,Thiruvanmiyur,"85,398/Month",14900000
3 BHK Flat For Sale  In Thiruvanmiyur,Thiruvanmiyur,"40,120/Month",7000000
"2 BHK Flat In Vj Flats For Sale  In Gandhi Nagar, Adyar","Gandhi Nagar, Adyar","54,448/Month",9500000
1 BHK House For Sale  In Adyar,Adyar,"37,254/Month",6500000
3 BHK Flat In Sumanth Apartment For Sale  In Adyar,Adyar,1.6 Lacs/Month,28000000
"3 BHK Flat For Sale  In Shastri Nagar, Adyar","Shastri Nagar, Adyar","97,434/Month",17000000
2 BHK Flat In Aprtment For Sale  In Thiruvanmiyur,Thiruvanmiyur,1 Lacs/Month,17500000
3 BHK Flat In Ksr Apartment For Sale  In Thiruvanmiyur,Thiruvanmiyur,"91,703/Month",16000000
3 BHK Flat In Ksr Apartment For Sale  In Thiruvanmiyur,Thiruvanmiyur,"91,703/Month",16000000
2 BHK Flat In Ksr Flats For Sale  In Dr Radhakrishnan Nagar,Dr Radhakrishnan Nagar,"56,741/Month",9900000
