Book Name,Author Name,Volumes Sold,Publisher,Genre
"Shadow of the Wind,The","Zafon, Carlos Ruiz","1,092,349",Orion,General & Literary Fiction
"Tales of Beedle the Bard,The","Rowling, J.K.","1,090,847",Bloomsbury,Children's Fiction
"Broker,The","Grisham, John","1,087,262",Random House,"Crime, Thriller & Adventure"
"Dr. Atkins' New Diet Revolution:The No-hunger, Luxurious Weight Loss P","Atkins, Robert C.","1,054,196",Random House,Fitness & Diet
"Subtle Knife,The:His Dark Materials S.","Pullman, Philip","1,037,160",Scholastic Ltd.,Young Adult Fiction
"Eats, Shoots and Leaves:The Zero Tolerance Approach to Punctuation","Truss, Lynne","1,023,688",Profile Books Group,Usage & Writing Guides
Delia's How to Cook:(Bk.1),"Smith, Delia","1,015,956",Random House,Food & Drink: General
Chocolat,"Harris, Joanne","1,009,873",Transworld,General & Literary Fiction
"Boy in the Striped Pyjamas,The","Boyne, John","1,004,414",Random House Childrens Books G,Young Adult Fiction
My Sister's Keeper,"Picoult, Jodi","1,003,780",Hodder & Stoughton,General & Literary Fiction
"Amber Spyglass,The:His Dark Materials S.","Pullman, Philip","1,002,314",Scholastic Ltd.,Young Adult Fiction
To Kill a Mockingbird,"Lee, Harper","998,213",Random House,General & Literary Fiction
"Men are from Mars, Women are from Venus:A Practical Guide for Improvin","Gray, John","992,846",HarperCollins,Popular Culture & Media: General Interest
Dear Fatty,"French, Dawn","986,753",Random House,Autobiography: The Arts
"Short History of Tractors in Ukrainian,A","Lewycka, Marina","986,115",Penguin,General & Literary Fiction
Hannibal,"Harris, Thomas","970,509",Random House,"Crime, Thriller & Adventure"
"Lord of the Rings,The","Tolkien, J. R. R.","967,466",HarperCollins,Science Fiction & Fantasy
Stupid White Men:...and Other Sorry Excuses for the State of the Natio,"Moore, Michael","963,353",Penguin,Current Affairs & Issues
"Interpretation of Murder,The","Rubenfeld, Jed","962,515",Headline,"Crime, Thriller & Adventure"
Sharon Osbourne Extreme:My Autobiography,"Osbourne, Sharon","959,496","Little, Brown Book",Autobiography: The Arts
